station_id,station_name,nb_available_bikes
4003,Quai aux Fleurs - Pont Saint-Louis,5
12115,Porte de Vincennes,24
19005,Flandre - Riquet,0
14021,Place de la Porte de Châtillon,51
11115,Montreuil - Gonnet,18
15025,Dupleix - du Guesclin,0
12013,Montgallet - Reuilly,9
17045,Place des Ternes,36
35018,Ancien Canal - Hélène Brion,15
18110,Departement - Pajol,12
32602,Mairie des Lilas,40
11009,Boulets - Voltaire,18
7112,Quai d'Orsay - Invalides,0
17011,Fragonard - Porte de Clichy,23
43402,Place de Verdun,5
12002,Lacuée - Lyon,9
24002,Gare de Courbevoie,30
16121,Jardin d'Acclimatation,6
14117,Gare Montparnasse - René Mouchotte,0
31709,Place de la Fraternité,22
23001,Paul Vaillant Couturier - Chaptal,35
13049,Vincent Auriol - Louise Weiss,17
41102,Gare de Laplace,40
20026,Gambetta - Hôpital Tenon,1
17037,Bayen - Pereire,0
19004,Quai de la Loire - Jean Jaurès,11
12106,Gare de Lyon - Roland Barthes,0
16124,Route de Sèvres - Porte de Bagatelle,40
8033,Commandant Rivière,23
17017,Gare de Pont-Cardinet,29
33003,Bordier - Félix Faure,32
5021,Jussieu - Fossés Saint-Bernard,0
20043,Charonne - Avron,3
33009,Félix Faure - Sadi Carnot,1
16138,Saint-Cloud - Hippodrome,0
22505,Mairie,4
25005,18 juin 1940 - Buzenval,19
13045,Jean Colly - Tolbiac,21
19115,Porte de la Villette,19
14034,Ouest - Château,0
32010,Place aux Étoiles,34
16018,Flandrin - Henri Martin,12
11102,Alexandre Dumas - Voltaire,48
15010,Square Cambronne,45
12034,Pirogues de Bercy - Libourne,42
42707,Place Jean-Baptiste Clément,20
12038,Picpus - Louis Braille,27
16034,Porte d'Auteuil,3
14019,Sarrette - Général Leclerc,18
16140,Longchamp - Suresnes,0
12029,Dugommier,32
20132,Réunion - Avron,22
12001,Bastille - Biscornet,1
5114,Claude Bernard - Arbalète,12
20119,Square des Saint-Simoniens,23
19019,Petit - Manin,16
15126,Ernest Renan - Parc des Expositions,0
42207,Place des Marseillais,32
12030,Charenton - Wattignies,17
31103,Gare Rosny-Bois-Perrier,18
27002,Parc Pierre Lagravère,16
92003,Chanzy - Sud-Est,17
5119,Jussieu - Guy de la Brosse,33
5121,Square René Viviani - Montebello,22
35009,Jean Lolive - Parc Stalingrad,9
31705,Champeaux - Gallieni,44
8055,Courcelles - Place des Ternes,25
33001,Victor Hugo - Magasins Généraux,30
8002,Gare Saint-Lazare - Cour du Havre,20
21109,Guichet - Jean Jaurès,13
20120,Evariste Galois,19
23701,Parvis Robert Schuman - Roger Salengro,11
21502,Verdun - Place Henri IV,10
14001,Edgar Quinet - Gaité,0
31012,Place Carnot,12
12126,Gravelle - Route du Bac,25
10001,René Boulanger - Lancry,55
17123,Clichy - Lechapelais,0
16129,Ceinture du Lac Inferieure - Saint-Cloud,18
35019,Anatole France - Jean Lolive,10
14104,Boyer-Barret - Raymond Losserand,11
20113,Piat - Parc de Belleville,18
5116,Place Valhubert,6
41604,Lagny - Joffre,27
17018,Parc Monceau,8
14018,Porte d'Orléans,37
15017,Place Falguière,0
43006,Vignerons - Minimes,14
15029,Emeriau - Place de Brazzaville,40
13104,Gare d'Austerlitz - Quai Saint-Bernard,11
5002,Sommerard - Saint-Jacques,25
18005,Tardieu - Chappe,13
10005,Petites Ecuries - Faubourg Poissonnière,12
12024,Gare de Bercy,2
18045,Pierre Ginier - Clichy,12
8012,Batignolles - Place de Clichy,35
18020,Francoeur - Marcadet,16
20136,Henri Chevreau - Couronnes,24
5026,Pascal - Claude Bernard,13
42023,Place Léon Gambetta,0
8102,Lamennais - Washington,22
16006,Lauriston - Copernic,17
21013,Pierre Grenier - Pont de Billancourt,8
32012,Carrefour Pleyel,20
15055,Vasco de Gama,45
23011,Bineau - Louise Michel,0
21111,Professeur René Leriche - Général Leclerc,28
21308,Bara - Henri Farman,28
17007,Navier - Epinettes,4
11114,Ledru-Rollin - Charonne,21
20040,Parc de Belleville - Julien Lacroix,0
42503,Vladimir Ilitch Lénine - Andrée Chedid,22
17050,Batignolles - Abel Truchet,27
10023,Gare de l'Est - Verdun,12
12011,Charenton - Place du Col Bourgoin,0
7001,Invalides - Duroc,19
21105,Morice - Général Leclerc,14
13102,Pitié-Salpêtrière,17
10015,Lucien Sampaix - Récollets,35
18141,Clignancourt - Sofia,0
13026,Place Jean Delay,29
23002,Pont de Levallois-bécon,36
15033,Place Violet,25
14130,Jonquoy - Didot,28
41207,Place du Général de Gaulle,24
7006,Quai Voltaire,0
13043,Dunois - Clisson,39
21019,Edouard Vaillant - Paul-Adolphe Souriau,9
6018,Michelet - Assas,1
12032,Porte Dorée,24
15032,Félix Faure - Lourmel,52
19037,Belleville - Porte des Lilas,27
20109,Haxo - Surmelin,18
10165,Gare de l'Est - Place du 11 Novembre 1918,36
18032,Porte de Clignancourt,23
13016,Primo Levi - Frigos,2
6107,Place Alphonse Deville,6
51003,Hôtel de Ville,27
6103,Mézières - Rennes,44
15038,Place Adolphe Cherioux - Vaugirard,55
22005,Charles de Gaulle - Madrid,9
19109,Tanger - Place du Maroc,13
20036,Ménilmontant - Pelleport,13
31019,Vincennes - Douy-Delcupe,34
32014,Place du Cornillon - Stade de France,28
11020,Belfort - Voltaire,35
17124,Porte de Saint-Ouen - Henri Huchard,9
17027,Place du Maréchal Juin - Péreire,20
44012,Génie - Mozart,18
19201,Petit - Georges Thill,0
21119,Martissot - Victor Hugo,12
48007,Parc Départemental des Hautes-Bruyères,27
48012,Stalingrad - Henri Luisette,26
1002,Victoria - Place du Chatelet,13
10012,Vinaigriers - Magenta,14
14122,Colonel Monteil - Brune,0
44102,Verdun - Adrien Damalix,18
9115,Milton - Manuel,20
19039,Edouard Pailleron - Simon Bolivar,23
17046,Mac-Mahon - Brey,15
16032,Eglise d'Auteuil,17
18113,Lepic - Armée d'Orient,12
21003,Jean Jaurès - Jean Baptiste Clément,10
22001,Château - Bineau,13
17047,Courcelles - Pierre Demours,15
18025,Mairie du 18ème,0
17122,Bridaine - Lamandé,24
20027,Porte de Ménilmontant,8
9023,Laffitte - Italiens,31
21306,Place Lafayette,0
20021,Indre - Prairies,17
16004,Université Paris Dauphine,0
15108,Lourmel - Marie Skobtsov,14
19040,Belleville - Télégraphe,32
26001,Gare d'Asnières sur Seine,9
11116,Faubourg St-Antoine - Place de la Nation,33
6016,Danton - Serpente,13
16123,Mahatma Gandhi,5
41204,République - Danton,17
19009,Cité des Sciences et de l'Industrie,9
20137,Borrégo - Gambetta,0
17121,Square des Epinettes,17
47006,Les Planètes,5
10020,Chabrol - d'Hauteville,4
21703,Square du Carrefour de l'Insurrection,8
11041,Square Saint-Ambroise,0
21014,Hameau Fleuri - Marché,0
18109,Pajol - Riquet,32
19038,Lassus - Delouvain,8
18029,Emile Blemont - Poteau,1
21706,Jean Bleuzen - Square du 11 Novembre,39
20118,Orteaux - Mouraud,20
16021,François Ponsard - La Muette,20
9031,Provence - Chaussée d'Antin,5
11006,Ledru-Rollin - Place du Père Chaillet,22
6030,Assas - Vaugirard,33
20023,Pelleport - Belgrand,10
18023,Ordener - Poissonniers,0
15035,Place Etienne Pernet,0
10009,Mairie du 10ème,0
10166,Strasbourg - Saint-Denis,6
18049,Porte d'Aubervilliers,3
15049,Porte de Versailles,15
31703,Sadi Carnot - François Mitterrand,23
9117,Bellefond - Maubeuge,28
35003,Gabrielle Josserand - Edouard Vaillant,4
16026,Ranelagh - Mozart,0
15031,Théâtre - Lourmel,0
35017,Toffier Decaux - Cartier Bresson,1
35014,Charles de Gaulle - Jean Lolive,20
47005,Ecole Vétérinaire,5
19127,Aubervilliers - Curial,8
8056,Beaujon - Wagram,24
15070,Balard - Montagne de la Fage,0
11043,Place Pasdeloup,0
14112,Méchain - Faubourg Saint-Jacques,15
47004,Stade Auguste Delaune,4
16029,Maison de Radio - France,18
18008,Square Léon,27
9026,Jean-Baptiste Pigalle - La Bruyere,15
21001,Transvaal - Charles de Gaulle,18
18033,Belliard - Damrémont,27
16027,Mozart - Jasmin,53
11010,Boulets - Faubourg Saint-Antoine,36
20116,Haies - Réunion,0
15002,Maine - Antoine Bourdelle,13
21310,Kléber - Gouverneur Général Eboué,9
23007,Président Wilson - Jean Jaures,14
20016,Pyrénées - Maraîchers,13
44010,8 Mai 1945 - 10 Juillet 1940,30
20142,Mûriers - Père Lachaise,0
10010,Place Jacques Bonsergent,17
8019,Naples - Rome,2
16043,Place de Passy,11
32015,Gare RER,12
1117,Pont Neuf - Rivoli,4
10028,Gare du Nord - Dunkerque,20
1120,Lavandieres Sainte Opportune - Rivoli,17
7007,Musée d'Orsay,0
16015,Bassano -  Iéna,12
18043,Clichy - Place Blanche,14
32004,Wilson - Landy,34
12107,Diderot - Pierre Bourdan,18
9017,Lallier - Trudaine,27
10033,Gare du Nord - Saint-Vincent de Paul,21
17022,Pereire - Place de Wagram,36
12004,Traversière - Ledru-Rollin,17
32001,Proudhon - Président Wilson,13
20030,Ménilmontant - Père Lachaise,35
6032,Sabot - Rennes,17
42703,Fontainebleau - Edmond Michelet,43
13103,Hôpital Pitié Salpêtrière,41
16112,Chernoviz - Raynouard,29
13046,Eugène Oudiné - Dessous Des Berges,22
22102,Mont Valérien - Michel Salles,21
15058,Place du Moulin de Javel,34
8051,Batignolles - Rome,14
4110,Neuve Saint-Pierre - Beautreillis,16
20201,Eugène Reisz - Davout,0
17102,Alfred Roll - Berthier,23
14030,Pernety - Raymond Losserand,1
15003,Gare Montparnasse - Vaugirard,0
7008,Villersexel - Saint-Germain,1
14028,Alésia - Suisses,0
8001,Petit Palais,21
32016,Place de la Porte de Paris,40
6017,Sénat - Condé,0
10114,Granges aux Belles - Hôpital Saint-Louis,18
15107,Palais des Sports,8
13122,Parc de Choisy,17
10036,Aqueduc - Villette,22
19041,Belleville - Pyrénées,20
21114,Gustave Eiffel - Parc des Impressionnistes,20
32017,Basilique,0
32603,Calmette,27
21024,Billancourt - Général Leclerc,8
19023,Manin - Simon Bolivar,0
2001,Greneta - Sebastopol,26
19045,Macdonald - Césaria Evora,65
4101,Bastille - Beaumarchais,11
2013,Favart - Italiens,9
21311,Parvis Corentin Celton,26
15059,Parc André Citroën,29
8038,François 1er - Montaigne,15
8026,Messine - Place Du Pérou,5
8015,Roquépine - Malesherbes,29
12041,Bois de Vincennes,38
7016,Surcouf - Université,15
18138,Ney - Charles Hermite,15
9118,Faubourg Poissonniere - Delta,32
15040,Saint-Amand - Labrouste,31
20019,Place du Maquis du Vercors,25
21215,Verdier - Jean Jaurès,0
45001,Hôtel de Ville,7
31704,Jeanne Hornet - Girardot,0
2010,Uzès - Montmartre,0
7013,Duroc - Place de Breteuil,0
4013,Vieille du Temple - Francs Bourgeois,0
10163,Gare du Nord - Demarquay,28
31023,Place François Mitterand,24
33019,Madeleine Vionnet,0
18042,Place Pigalle,18
33020,Waldeck Rochet - Germaine Tillon,0
18137,Poissonniers - Nord,17
17116,Reims - Porte d'Asnières,0
14006,Saint-Jacques - Tombe Issoire,21
4011,Hôtel de Ville - Pont-Marie,0
12108,Bercy,47
31013,Centenaire - Sorins,41
20017,Saint-Blaise - Mouraud,15
14116,Romain Rolland,22
18001,Damrémont - Caulaincourt,14
32018,Franciade - Gabriel Péri,13
11034,Parmentier - Fontaine au Roi,42
15061,Square Desnouettes,20
17016,Brochant - Square des Batignolles,20
23008,Hôtel de Ville,9
21108,Mairie de Clichy,0
18019,Square Raymond Souplex,48
15063,Convention - Saint-Charles,15
11003,Keller - La Roquette,23
6014,Pont de Lodi - Dauphine,12
1016,Thérèse - Opéra,1
7026,Place de Finlande,11
18135,Ney - Porte de Montmartre,16
9012,Rougemont - Poissonnière,20
31001,Lagny - Auguste Blanqui,20
15020,Mairie du 15ème,30
41206,Place des Larris,30
8104,Chateaubriand - Friedland,0
21954,Val-Fleury,0
19031,Manin - Crimée,13
13114,Nationale - Marcel Duchamp,0
12157,Fabre d'Eglantine - Place de la Nation,51
41606,Pasteur - Gambetta,0
11019,Charonne - Philippe-Auguste,22
11101,Charles Delescluze,26
16016,Paul Doumer - La Tour,31
5019,Poissy - Saint-Germain,0
13113,Vistule - Choisy,25
31018,Gambetta - Michelet,27
47002,Les Juilliottes,2
33005,République - Henri Barbusse,22
2110,Jeûneurs - Mulhouse,20
1022,Danielle Casanova - Place Vendôme,20
16041,Versailles - Claude Terrasse,12
10164,Claude Vellefaux - Sambre et Meuse,28
13019,Fernand Braudel - Vincent Auriol,0
3101,Porte Saint-Martin,28
22016,Charles de Gaulle - Sablonville,0
11107,Faidherbe - Dahomey,28
8049,Georges V - François 1er,0
20103,Le Vau - Maurice Bertaux,23
10201,Magenta - Chabrol,12
8029,Place du Canada,23
8105,François 1er - Lincoln,1
2014,Daunou - Louis le Grand,6
9113,Bleue - Trévise,23
23302,Parc de Sceaux - Centre-Ville,13
5030,Sorbonne - Ecoles,0
11048,Place Mireille Havet,20
6031,Pierre Sarrazin - Saint-Michel,0
4109,Mornay - Sully,8
2101,Bachaumont - Montmartre,31
21952,Place Tony de Graaff,18
8028,Arsène Houssaye - Champs-Elysées,22
6027,Blaise-Desgoffe - Vaugirard,0
12154,Square Georges Melies,0
10026,Gare de l'Est - Chateau Landon,31
